"","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"1","1 Green
Planet","Renton, WA","First","LCD
WA546164","None","No","No","Yes","No","Hong Kong, New
Territories","1. 1 Green Planet
2. EWC Group Recyclers/eWaste Center
3. Canada, Vancouver Port area
4. Hong Kong, Port of Hong Kong
5. Hong Kong. Unverified location (New Territo-
ries)"
"2","Accurate IT","Columbus, OH","First and
Last","CRT
OH157467","R2","No","N/A No
state pro-
gram","No
(But discusses BAN's
findings of pollution
occurring in develop-
ing countries)","Yes","Pakistan, Multan","1. Accurate IT
2. Pakistan, Port Qasim
3. Pakistan, Multan 30.188337, 71.456527"
"3","ACT Secured
Recycling","Lawrence, MA","First","Printer
MA352894","None","No","N/A No
state pro-
gram","No","Yes","Hong Kong, New
Territories","1. ACT Secured Recycling
2. TBS Industries
3. Hong Kong, Port of Hong Kong
4. Hong Kong. New Territories 22.453303,
113.981538"
"4","Advance Trad-
ing Corp","Ontario, CA
34.059492,
-117.659313","Last","LCD
NV353413","None
(No certifica-
tion at time
of export,
but became
R2 certified
~4 months
after handling
exported
device).","No","Yes Active
collector","Yes","No","Hong Kong, New
Territories","1. Nevada State Recycling
2. TW Recycling
3. Advance Trading Corp
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.423244,
114.019274"
"5","Advance Trad-
ing Corp","Ontario, CA
34.059311,
-117.659305","Interme-
diate","LCD
CA549390","None
(No certifica-
tion at time
of export,
but became
R2 certified
~4 months
after handling
exported
device).","No","Yes Active
collector","Yes","No","Cambodia,
Phnom Penharea","1. Recycling Event at Eliot Middle School, Alta-
dena, CA
2. Attan Recycling Corp
3. Advance Trading Corp
4. WTB Electronics Recycling Import & Export
5. Port of Long Beach
6. Cambodia, Unverified location (Krong Preah
Sihnaouk port area)
7. Cambodia, Unverified location (Phnom Penh
area)"
"6","Advanced
Recovery Inc
(ARI)","Newark, NJ","First","LCD
NJ614731","R2","No","Yes Large
Quantity
Universal
Waste
Handler","No","Yes","Hong Kong, New
Territories","1. Advanced Recovery Inc (ARI)
2. Unverified location, Middletown, NJ
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.526796,
114.166662"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 2","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"7","AERC
Recycling
Solutions","Hayward, CA","First","LCD
CA552709","R2","Yes","No
Inactive
collector","No","Yes","Hong Kong, New
Territories","1. AERC Recycling Solutions
2. Unverified location, Stockton, CA
3. Unverified location, Chino, CA area
4. Hong Kong - Port of Hong Kong
5. Hong Kong - Pillar Point port area
6. Hong Kong, New Territories 22.48509,
114.071367
7. Hong Kong, New Territories 22.455738,
114.01992
8. Hong Kong, New Territories 22.485871,
114.003833"
"8","All eWaste*","Santa Clarita,
CA","First","Printer
CCA545745","e-Stewards*","No","Yes Active
collector &
recycler","No","No","Hong Kong, New
Territories","1. All eWaste collection event in Santa Clarita, CA
2. All eWaste HQ, Sun Valley, CA (34.228201,
-118.385998)
3. IQA Metals
4. Port of Long Beach
5. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.447456,
113.9652"
"9","Allied Com-
puter Brokers","Amesbury, MA","First","LCD
MA616330","None","No","N/A No
state pro-
gram","Yes","No","Hong Kong, New
Territories","1. Allied Computer Brokers
2. Unverified location, North Billerica, MA
3. Unverified location in Boston, MA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories (unverified
location)
6. Hong Kong, New Territories 22.453112,
113.987362"
"10","ARCOA","Waukegan, IL","First","LCD
IL163523","R2","Yes","Yes State
EPA list","No","No","Hong Kong, New
Territories","1. ARCOA
2. ECR World
3. Port of Long Beach, CA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.436384,
114.002787"
"11","Attan Recy-
cling Corp","Chino, CA","First and
Last","CRT
CA551248","None","No","Yes Active
collector &
recycler","No","No","Taiwan, Taoyuan
City","1. Attan Recycling Corp
2. Port of Long Beach, CA
3. Taiwan, Unverified location, Port area in New
Taipei City, Bali District
4. Taiwan, Unverified location. Taoyuan City,
Guanyin District"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 3","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"12","Attan Recy-
cling Corp","Chino, CA
34.000353,
-117.709278","First","LCD
CA549390","None","No","Yes Active
collector &
recycler","No","No","Cambodia,
Phnom Penh area","1. Recycling Event at Eliot Middle School, Alta-
dena, CA
2. Attan Recycling Corp
3. Advance Trading Corp
4. WTB Electronics Recycling Import & Export
5. Port of Long Beach, CA
6. Cambodia, Unverified location, Krong Preah
Sihnaouk port area
7. Cambodia, Unverified location, Phnom Penh
area"
"13","Avnet","Groveport, OH
39.854467,
-82.918673","Interme-
diate","Printer
OH166039","R2","Yes","N/A No
state pro-
gram","Yes","No","China, Guiyu area","1. Goodwill - Wooster, OH (Dell Reconnect
Location)
2. Avnet
3. Unverified location, Columbus, OH
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. China, Unverified location, Dongguan, Guang-
dong
7. China, Unverified location, Near Guiyu"
"14","Blind Center
of Nevada","Las Vegas, NV","First and
Last","CRT
NV353470","R2","No","N/A No
state pro-
gram","No","No","Mexico, Mexicali
area.","1. Blind Center of Nevada
2. Mexico Unverified location, Mexicali"
"15","Blue Star
Electronics,
LLC (Hayward
Ewaste)","Hayward, CA
37.620382,
-122.054587","Interme-
diate","LCD
CA542981","None","No","No
Inactive
collector","No","No","Hong Kong, New
Territories","1. Remitek Inc
2. Blue Star Electronics
3. Unverified location, Fremont, CA area
4. San Francisco/Oakland ports, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.429514,
114.016853"
"16","Blue Star
Electronics,
LLC (Hayward
Ewaste)","Hayward, CA
37.620368,
-122.054698","First","LCD
CA540894","None","No","No
Inactive
collector","No","No","Hong Kong, New
Territories","1. Blue Star Electronics
2. Warehouse in Business Park at 48016 Fremont
Blvd., Fremont, CA
3. Unverified Location, San Jose, CA area
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories, Unverified location"
"17","Cal Micro
Recycling","Ontario, CA
34.061649,
-117.680484","First","Printer
CA530101","R2","No","Yes Active
collector &
recycler","Yes","Yes","Hong Kong, New
Territories","1. Cal Micro Recycling
2. Growan Inc.
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.511,
114.155034"
"18","Cal State
Electronic
Recycling
(CSER, Inc.)","San Marcos,
CA","First and
Last","LCD
CA544961","None","No","No","No","No","Thailand, Bang-
kok area","1. Cal State Electronic Recycling
2. Port of Long Beach, CA
3. Thailand, Port area near Bangkok
4. Thailand, Unverified location (Chon Buri, near
Bangkok)"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 4","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"19","Cal State
Electronic
Recycling
(CSER, Inc.)","San Marcos,
CA
33.159699,
-117.202282","Interme-
diate","LCD
CA552287","None","No","No","No","No","Hong Kong, New
Territories","1. e-Recycling of California
2. Cal State Electronic Recycling
3. Unverified location, City of Industry, CA
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.455844,
114.020101"
"20","Chicago
Surplus Com-
puter (CSC)","Chicago, IL","First","CRT
IL162640","None","No","No","No","No","Pakistan, Faisal-
abad","1. Chicago Surplus Computer
2. Unverified location, West Chicago, IL
3. Unverified location, possibly trainyard,
Chicago, IL
4. Pakistan in Faisalabad, unverified location"
"21","Chicago
Surplus Com-
puter (CSC)","Chicago, IL","First","LCD
IL163424","None","No","No","No","No","United Arab Emir-
ates, Dubai","1. Chicago Surplus Computer
2. UNITEC Recycling Corporation
3. Chicago Surplus Computer
4. Unknown warehouse/field, Lombard, IL, GPS
5. UAE, Dubai"
"22","Chicago
Surplus
Computers
(CSC)","Chicago, IL","Firstand
Last","CRT
IL616231","None","No","No","No","No","Pakistan, Faisal-
abad","1. Chicago Surplus Computers
2. Port Newark. NJ
3. Pakistan, Port Muhammard Bin Qasim, Karachi
4. Pakistan, Faisalabad. 31.417952, 73.077023"
"23","Chicago
Surplus
Computers
(CSC)","Chicago, IL","First and
Last","LCD
IL616371","None","No","No","No","No","Hong Kong, New
Territories","1. Chicago Surplus Computers
2. Unverified locations: Travels along train route
from Chicago to Gila Bend, AZ
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.528651,
114.166338"
"24","CRT Recycling","Brockton, MA","First and
Last","CRT
MA353454","R2","No","No state
program","No","Yes","Pakistan,
Samundri","1. CRT Recycling
2. Unverified location (potentially in transit,
one cell tower reading in Leominster, MA before
export)
3. Pakistan, Faisalabad 31.412861, 73.126515
4. Pakistan, Samundri 31.057368, 72.973192"
"25","Earthworm
Recycling","Somerville,
MA","First","Printer
MA616041","None","No","No state
program","No","No","Hong Kong, New
Territories","1. Earthworm Recycling
2. Good Point Recycling
3. Unverified location (Chicago, IL)
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.453373,
113.981578"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 5","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"26","Ecobinary
LLC*
Ecobinary
passed the
device to
Total Reclaim,
an e-Stewards
Certified
Recycler.
Total Reclaim
admitted
to being
culpable for
the export.","Beaverton, OR","First","LCD
OR356028","None","No","Yes Reg-
istered
collection
site","No","No","Hong Kong, New
Territories","1. Ecobinary, LLC
2. Unverified location (Portland, OR)
3. Trailer Yard used by Total Reclaim, Portland, OR
4. Trailer Yard, Seattle, WA used by Total Reclaim
5. Total Reclaim, Seattle, WA
6. Hong Kong, Port of Hong Kong
7. Hong Kong, New Territories 22.450503,
113.966656
8. Hong Kong, New Territories 22.485588,
114.074766"
"27","ecoTech Man-
agement","Holbrook, NY
40.774097,
-73.083087","Interme-
diate","Printer
NY615597","R2","No","No","No","No","Hong Kong, New
Territories","1. Mr. E-Waste
2. ecoTech Management
3. Unverified location, Willingboro, NJ
4. Hong Kong, New Territories 22.447177,
113.965548"
"28","ECR World","Chino, CA
33.99196,
-117.694784","Last","LCD
IL163523","R2","No","No
Inactive
collector","N/A No website","N/A no website","Hong Kong, New
Territories","1. ARCOA
2. ECR World
3. Port of Long Beach, CA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.436384,
114.002787"
"29","Electronics
Recycling
Services INC
dba Green
E-Waste
Recycling
Center","San Jose, CA","First and
Last","LCD
CA356242","None","No","Yes Active
collector","No","No","Hong Kong, New
Territories","1. Electronics Recycling Services Inc.
2. Port of Oakland, CA
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.429382,
114.016906
5. Hong Kong - Kowloon near port 22.327304,
114.16024
6. Hong Kong, New Territories 22.534432,
114.207566
7. Hong Kong, New Territories 22.48053,
114.05527"
"30","e-Recycling
of California*","Irvine, CA","First","LCD
CA552287","e-Stewards*","Yes","Yes Active
collector &
recycler","Yes","No","Hong Kong, New
Territories","1. e-Recycling of California
2. Cal State Electronic Recycling (CSER, Inc.)
3. Unverified location, City of Industry, CA
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.455844,
114.020101"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 6","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"31","eRevival LLC","Garfield, NJ","Firstand
Last","CRT
NJ616173","R2","No","Yes Large
Quantity
Universal
Waste
Handler &
Refurbisher","Yes","Yes","Hong Kong, New
Territories","1. eRevival LLC
2. Hong Kong, Unverified location 3. Hong Kong,
New Territories 22.424206, 114.039361"
"32","E-Scrap Solu-
tions","Cleveland, OH","First","LCD
OH160248","R2","No","N/A-No
state pro-
gram","No","No","Hong Kong, New
Territories","1. E-Scrap Solutions
2. Unverified location, Greensburg, PA
3. Unverified location, Columbus, OH
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.441442,
113.987396"
"33","E-Tech Man-
agement","Columbus, OH","First and
Last","Printer
Geo-
Force 3039211","None","No","N/A No
state pro-
gram","No","No","Hong Kong, New
Territories","1. E-Tech Management
2. Hong Kong, New Territories 22.52876,
114.13932"
"34","E-Tech Man-
agement","Columbus, OH","First and
Last","CRT
OH154449","None","No","N/A No
state pro-
gram","No","No","Canada, Barrie","1. E-Tech Management
2. Canada, Unknown warehouse in Toronto
43.83054, -79.26873
3. GEEP, Barrie, Ontario. Found our tracker and
sent it back to us."
"35","e-Waste, LLC","Hudson, OH","First","LCD
OH356309","R2","No","N/A No
state pro-
gram","No","Yes","Hong Kong, New
Territories","1. e-Waste, LLC
2. Unverified location, Cleveland, OH)
3. Unverified location, likely in transit through
Atlanta, GA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.484294,
114.110072"
"36","EWC Group
Recyclers
(eWaste
Center)","Commerce,
CA","First and
Last","Printer
CA543948","None","No","Yes Active
collector
and recy-
cler","Yes","No","Hong Kong, New
Territories","1. EWC Group Recyclers (eWaste Center), Los
Angeles, California
2. Port of Long Beach, CA
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.471585,
113.989428
5. Hong Kong, New Territories 22.457417,
113.992414"
"37","EWC Group
Recyclers
(eWaste
Center)","Tukwila, WA
47.451982,
-122.250146","Last","LCD
WA546164","None
(Last certified
to R2 stan-
dard in 2014)","No","Yes Reg-
istered
transporter
& processor","Yes","No","Hong Kong, New
Territories","1. 1 Green Planet
2. EWC Group Recyclers/eWaste Center, Tukwila,
Washington
3. Canada, Vancouver Port area
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories, Unverified location"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 7","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"38","EZPC","Santa Ana, CA","First","Printer
CA551412","None","No","Yes Active
collector","Yes","Yes","China, Guiyu area
(via Hong Kong,
New Territories)","1. EZPC
2. Unknown warehouse at 2370 E Artesia Blvd,
Long Beach, CA
3. Port of Long Beach, CA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.471612,
113.989588
6. Hong Kong, Unverified location 7. China, Fos-
han, Guangdong 23.150815, 113.107867
8. China, Guiyu area, Unverified area)"
"39","Far West
Recycling","Portland, OR","First","LCD
OR350062","None","Yes","Yes Reg-
istered
collection
site","No","No","Taiwan, Longling
(via Hong Kong,
New Territories)","1. Far West Recycling
2. Unverified location, Vancouver, WA
3. Golden Valley Trading
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.45147,
113.967598
7. Taiwan, Keelung City area, Unverified location
8. Taiwan, Longjing District 24.177561,
120.549028
9. Taiwan, Liuying District 23.284257,
120.352853
10. Taiwan, Longling District, 24.177365,
120.549053"
"40","Golden Valley
Trading","Chino, CA
34.001151,
-117.690472","Last","LCD
OR350062","None","No","No","No","No","Taiwan, Lognglin","1. Far West Recycling
2. Unverified location, Vancouver, WA
3. Golden Valley Trading
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.45147,
113.967598
7. Taiwan, Keelung area, Unverified location
8. Taiwan, Longjing District 24.177561,
120.549028
9. Taiwan, Liuying District 23.284257,
120.352853
10. Taiwan, Longjing District 24.177365,
120.549053"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 8","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"41","Golden Valley
Trading","Chino, CA
34.001573,
-117.690708","Last","Printer
NV356143","None","No","No","No","No","Hong Kong, New
Territories","1. Goodwill - Las Vegas (Dell Reconnect location)
2. Goodwill - North Las Vegas (Dell Reconnect
location)
3. Unverified location, Poway, CA
4. Golden Valley Trading
5. Port of Long Beach, CA
6. Hong Kong, Port of Hong Kong
7. Hong Kong, New Territories, Unverified
location, Un 8. Hong Kong, New Territories
22.451292, 113.967369"
"42","Golden Valley
Trading","Chino, CA
34.001796,
-117.690033","Last","LCD
OH161584","None","No","No","No","No","Hong Kong, New
Territories","1. Goodwill Easterseals - Wapakoneta - (Dell Recon-
nect location)
2. J&D Recyclers
3. Unverified location, Dayton, OH
4. Goodwill Auto Auction site, Dayton, OH
5. Unverified location, Groveport, OH
6. Unverified location, Commerce, CA
7. Unverified location, San Diego, CA)
8. Golden Valley Trading
9. Port of Long Beach, CA
10. Hong Kong, Port of Hong Kong
11. Hong Kong, New Territories 22.469679,
113.990091
12. Hong Kong, New Territories 22.445332,
114.025677"
"43","Golden Valley
Trading","Chino, CA
34.001799,
-117.689918","Last","LCD
MI163325","None","No","No","No","No","Taiwan, Houlong
Township","1. Goodwill - Oxford, MI (Dell Reconnect location)
2. Goodwill - Flint, MI (Dell Reconnect location)
3. Unverified location, Warren, MI
4. Unverified location, Groveport, OH
5. Unverified location, Commerce City, CA
6. Unverified location, San Diego, CA
7. Unverified location, City of Industry, CA
8. Golden Valley Trading
9. Hong Kong, Port of Hong Kong
10. Hong Kong, New Territories 22.502218,
114.08558
11. Hong Kong, Port of Hong Kong
12. Taiwan, Port of Keelung
13. Taiwan, Miaoli County, Farm location
24.663495, 120.884154
14. Taiwan, MRTI Corporation,
24.632225120.820892
15. Taiwan, Houlong Township, Unverified
location )"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 9","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"44","Good Point
Recycling*
*Good Point
Recycling
admitted to
receiving the
device from
Earthworm
Recycling.","Middlebury,
VT","Interme-
diate","Printer
MA616041","R2","No","N/A-No
state pro-
gram","No","Yes","Hong Kong, New
Territories","1. Earthworm Recycling
2. Good Point Recycling
3. Unverified location (Chicago, IL)
4. Port of Long Beach, CA
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.453373,
113.981578"
"45","Great Lakes
Recycling","Oak Park, MI","Interme-
diate","LCD
MI163960","None
(No certifica-
tion at time
of export, but
currently R2)","Yes","Yes Reg-
istered
recycler","No","Yes","Taiwan
(via Hong Kong,
New Territories)","1. Great Lakes Recycling
2. Unverified location, Minneapolis, MN
3. Unknown warehouse, St. Paul, MN 44.964379,
-93.071178
4. Port Newark, NJ
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.484895,
114.07212
7. Hong Kong, New Territories 22.412814,
114.02571
8. Taiwan, Kaohsiung City Port, Unverified
location
9. Taiwan, Keelung City, Unverified location
10. Taiwan, Zhunan Township, Unverified location
11. Taiwan, Full AFC Technology Co. LTD
24.632458, 120.820191"
